,raw(m),inner(m),middle(m),outer(m),raw(s),inner(s),middle(s),outer(s),result
0,96.60022968897214,64.24254763237815,114.07553064868081,110.7823823823824,37.19005190653704,43.31020179271731,11.69098072416099,24.852280091687405,0
1,93.87486410998311,96.31662170645222,90.67794088474508,94.70016683350018,34.02038478668348,35.008034766154175,32.844893672246,33.95308432588663,0
2,95.66284780875606,88.02862184218117,110.90785558420947,87.78443443443444,28.212513622207513,28.01010716947026,9.860114295230321,34.034759087070114,0
3,107.24671497925965,103.11388679876265,109.32346215780997,109.1520246308595,26.477007633324828,21.537413979784247,10.27703192147004,38.74647764066747,0
4,92.35807507261404,59.55194177228076,102.94476955630496,113.93324991658325,32.20377664026604,32.728133064975374,14.63677602851418,14.040142133886816,0
5,91.7703277527833,84.63446497344803,93.05362692587448,97.49214214214214,16.087297526703992,18.23123034594553,9.10353035540434,16.71899457988563,1
6,112.9797973656428,100.42730866459681,116.69152945844078,121.36126471927655,23.229021060322463,29.446108525116244,12.800496349718415,18.98597559619383,1
7,102.96546375239562,90.32037046600905,105.93960814317077,112.27156875879162,23.19308195810772,28.241256901852584,18.893149455653678,14.713830263240487,1
8,155.3288783728341,154.24347122518893,156.5782882043776,155.12676669569296,17.374355807195755,20.42390523420513,14.804221268200235,16.439309408630805,1
9,134.08388376990553,128.97276937954905,140.16142630430468,133.00411489167914,25.412337597515517,31.223388233292475,11.942422227364954,27.618541109319324,1
10,99.13409464008357,88.01837430650991,102.23381604179065,106.7403552143647,22.891425486434493,27.772587014562518,10.48798359107545,22.550586131080568,1
11,106.23301165727283,97.02297212466705,108.40425180189115,113.09831498164831,21.984031663178442,28.196451347820666,13.827027025399062,18.3371493115777,0
12,120.07180567866958,89.71008296432026,141.93032136480855,127.86768435101769,39.049001275087676,42.34550689009527,17.89454001452487,32.05061000477436,0
13,129.69403649187194,118.80852038479158,135.39820141506314,134.51719146444603,26.47990670405879,33.43990368858945,9.895473117633815,26.945421416093005,0
14,118.03346285865894,116.13869802005397,123.46227600343846,114.50863639320798,19.976039779681177,19.208366760854055,11.814846829226948,25.26423897718165,0
15,139.1203646821535,132.28726695092385,139.45603864734298,145.37170352698433,23.32339607158254,28.44169595188368,10.39509126809076,25.31261373227135,1
16,131.6808039045529,115.1987241478767,139.0330787542154,140.2475278121137,25.353158621093176,34.99345491232906,10.403335959411946,14.96723802428675,1
17,119.63273179352521,114.93854871820974,123.29005488329034,120.55767434100768,20.427900535721655,24.491071484759072,11.160269784048532,22.299062952029868,1
18,135.43465429287835,124.55415684119076,139.78324047324253,141.556828208783,22.47192795987738,33.742883737736406,10.255481428759298,11.121308880025166,1
19,109.56914836816934,98.35469710272167,112.43476814583194,117.59285618594683,21.050203015833496,28.619728219220367,10.158520982118473,14.987653230390151,1
20,132.14534517458034,131.3338762491305,139.84371487138793,125.17402402402404,27.88880751879144,30.90518780340215,16.2594956108805,31.81951147593756,0
21,110.75556628075337,101.19648587790996,113.92978745356994,116.9303204458377,20.09989053761811,28.227585643431592,11.799110889552816,12.1762570896706,0
22,105.17795877863446,97.92487402656896,109.4979997355022,107.95033366700034,21.035542428127066,25.978546412845994,10.896840611991669,21.50487569678513,0
23,114.26843805001617,106.13249728283589,114.64999013871541,121.77434717812481,21.276872226062224,20.553084033738045,10.95990819459048,26.253158905063415,1
24,110.51519757678935,104.08320184591372,112.42509753355814,114.80207858955174,19.54735568596274,22.2168869167163,10.527996777309367,21.91979917119429,1
25,136.46012499094067,126.84226599480837,141.10890696290417,141.2260927594261,23.59557928792892,32.65091620287901,10.273815655323046,19.38500395220392,1
26,103.6828545686696,88.75755416433384,109.3049659459102,112.45943660139223,27.374515446812797,30.798736661748972,22.027711978883094,22.284739606510346,0
27,134.46950750018266,134.78412436089448,141.18784512008514,127.39922298881373,16.482994767883174,18.926820477290132,10.997211830260271,15.612885161481813,1
28,107.67194059306584,98.6427105071173,112.15570653970772,112.02562562562564,20.63491387831274,27.91449740933809,9.987029874931945,16.96820744946355,1
29,102.30957278966176,88.79342053918326,104.94741453415327,112.93832165498833,23.622471646492016,29.645705062461072,15.785337448341652,15.955446066421521,1
30,134.57061525450897,123.33233233233234,141.80390795477086,138.22749007871965,32.98050766668416,42.63886517292247,24.680744014516467,25.93244725388605,1
31,103.3688929177468,99.58419436385539,108.0256893473517,102.41539262247088,20.27141315990973,20.133331477510648,10.11927322079006,26.15061458237545,0
32,108.35752627740827,102.6695761223978,107.56574189731116,114.64831853819737,18.949080172947482,14.959751197884103,9.995933063286977,25.961602628604368,1
33,101.27117407429925,83.43723384401352,94.09002843351186,125.43277925964478,39.96615969061921,32.707305291889206,38.79935094077091,35.41197613447492,0
34,108.82453832420391,112.08990346278483,107.57305098194801,106.92552533992583,25.11458269264593,23.291725586101283,20.114929725604615,30.37178116425265,1
35,124.93464456746555,110.88179705128859,136.39598624611517,127.18638638638639,29.72178896494315,35.764590178797995,11.668097142723745,30.274528489531487,0
36,91.64945114370613,89.38126261855076,86.83473847781524,98.7388888888889,29.50682331942829,27.148453006453693,29.221627366172523,30.663157073297274,0
37,127.06882864199181,127.98927741300623,132.78137604972557,120.39856523189857,19.82951345050772,18.229516866116803,10.125978358412391,25.84919377393154,1
38,106.31553597221364,106.05355575065846,108.84307431308628,104.0255710362382,21.97663275157799,20.359940159169334,12.437969571269154,29.46730601763751,0
39,112.88314440029451,98.08512799325173,118.66226465305036,121.45937437202761,31.517576042506498,36.94381540162247,25.858100734495512,25.273163154673846,1
40,119.833759533297,113.41904663533542,121.31985563169448,124.5774499296671,19.680649547787773,24.464600598607646,10.780714343161032,19.750849803394456,1
41,123.18119358600904,122.82100744812611,128.6393738014944,118.15636588380715,21.53670170031453,21.063682566812382,10.465880192766791,27.875457444622228,1
42,110.27723210090815,105.45606623572726,112.32686966871651,112.88242469585582,19.49050188838232,23.228788576080035,13.46861858312622,19.719508227926493,1
43,115.4638704202238,107.3541806538243,118.838716652252,119.95470225735147,19.3343045073674,21.311833284162514,13.440398766294898,19.862201316946226,1
44,102.41614663077543,104.84762728830526,97.24130463532367,105.1765825255351,23.162763003301553,16.89094907879402,24.237362822713443,26.22182396102691,1
45,98.86578247562342,87.60560560560562,106.00791840243338,102.73038038038038,24.61030327811073,26.81475331858092,15.269188113706056,26.058561163247052,0
46,107.3185429245204,105.60815052340477,106.51115850029755,109.81524858191526,17.61647752186598,18.762640488751,15.020627371863936,18.57611296853084,1
47,105.49143405083261,103.18903649412125,101.16840243337961,112.1183016349683,19.478402141640576,16.236170614057734,16.36380387643032,23.193674034824113,1
48,105.52985120391585,108.37072665886227,108.5512133835879,99.68713713713714,22.35961457927122,21.702405131376622,18.145328094107985,25.483584476874572,0
49,108.22432009675937,106.28602329745927,107.39049387811252,110.97267502612331,16.645784545890617,16.023610193039243,15.500272179198829,17.955297895615775,0
50,103.7979566559867,100.08483892129571,105.85364217911679,105.36328805294323,15.948618347882505,17.00696968555918,12.792277915627182,17.079191363316692,1
51,108.04382084988957,105.10883299764154,109.32150222872728,109.61243217898051,19.431812009108924,20.00273180993096,16.96624076881127,20.8222545027358,1
52,119.78358584323198,119.45021292478921,124.55830523044368,115.40548760653178,27.678419262802144,24.511608965057373,19.62437019453559,35.46354051074487,0
53,124.4726379623333,116.39155433903147,133.4476581731089,123.29720677875277,27.79201538013511,28.392671558876778,15.672222549718715,33.52516897028378,0
54,99.02648247334612,91.56265385873401,100.22224070254806,105.08302632460313,23.265665845809703,26.417254572987815,19.678027741423627,21.25521152419373,0
55,112.90549302291872,110.22804160092296,112.61327117635389,115.83323323323324,14.486785260599577,14.40002835509389,13.153594237286715,15.290960187425828,1
56,106.41288265235012,105.87769125057261,102.86829663426568,110.51638304971638,16.035749991110748,16.28997701298922,14.038897819103333,16.729366003656736,1
57,117.37669519864666,115.26306185336293,116.57888696693499,120.23600040190234,15.64619924706252,13.884250818803482,15.312042084933966,17.107614024314746,1
58,128.45193652337812,129.391611950934,129.89000198373338,126.13626309283715,21.725164761068896,15.10957405955862,14.106228598298962,31.079519142247577,1
59,134.39008657936256,132.77898237220273,134.28959201216688,136.07575909242576,20.83308763184555,23.31808858689393,17.73995563801296,21.003252595386503,1
60,101.2360640514711,94.14132776844642,103.98494015737617,105.33283455858434,22.831942086101787,26.989472588555444,14.300239410387357,23.70545752163041,1
61,134.9231444064897,137.2688905609899,133.74331076194858,133.813484092529,19.48641767249539,14.622568044322044,14.130563310222604,26.645194278671536,1
62,102.45856750429046,98.83205417607225,103.8818289395832,104.56908896520444,21.22497412541977,15.53227026707948,14.212495989107994,29.64715401075886,1
63,113.41919466922567,118.58384018197103,113.82982130276052,107.98406233966136,25.710678089183773,16.18653971435979,17.037150013249658,36.94348343636179,1
64,129.80736231205364,130.86717225700278,132.74447860874164,125.80105105105106,18.689585495267323,16.26894782297415,13.955931556898422,23.71933351393771,1
65,111.07841825738477,105.10510583999022,109.00361947688316,118.91156577612446,20.015137012888935,21.260989232397822,17.031738830223382,18.978613833480978,1
66,93.79394971174627,95.41181859825929,92.17534550023143,93.8354856548045,21.297406004480674,15.453559111765152,16.070282178288224,29.09551853419421,1
67,103.53191795132574,103.01937530751091,105.13314157243933,102.44787261726627,23.29301104271877,22.130145377040886,17.070331348715765,28.92000849047875,0
68,128.2168563484913,134.20176108311702,132.2045559743437,118.55612842365493,23.878917386942884,13.743217953633279,14.119633910495457,34.01911994893784,0
69,111.82505789947876,112.84586281196452,115.63343913244725,107.09953809121072,26.248404141574554,19.240652859122754,16.244714845756487,37.08369265145422,0
70,100.90833068522018,101.74233555589488,100.52314355617271,100.47696029362696,18.548359885383896,15.178678732098058,15.516347367370319,23.643452918344977,0
71,108.2652127131731,106.1973329261465,112.58576340673146,105.93828828828829,23.03210064159331,21.384435243731247,13.363395608334375,30.481486728386667,0
72,123.36846682611095,123.4225242191344,127.09439264696157,119.55507173840508,25.3479953740844,22.769210267481633,17.86627861526628,32.592575270542184,0
73,115.10073422421434,117.12634668566874,118.6717747801362,109.50495495495495,21.307352785622463,16.66543085774704,15.569762721775392,28.154027682513217,0
74,105.15379683675914,106.8542271084644,103.95624214772201,104.69029029029029,20.17893510766837,14.563005315665206,14.750114553414129,28.034091497708967,0
75,100.54877098337911,103.11788059245687,97.00056205779276,101.57688179038448,20.185923525765983,16.334299316946293,13.51089326945504,27.273486654480475,0
76,114.56013863521609,115.30325123906846,111.80294291629694,116.60054006066434,17.04869168214199,16.70587540899617,16.078848857216112,17.935552294449774,0
77,107.6534656833011,106.17408100124106,107.78562822143384,108.94454539336428,21.01320907172577,21.212446709160847,17.400139136876778,23.857987493196692,0
78,104.6915989099974,100.54639385147861,111.69124842954439,101.77864159781406,22.252696143990402,21.173884640774634,15.78389570418071,26.62730169394553,0
79,107.08315676477697,109.96959837490746,108.01944315082163,103.33267466005762,19.857235345095706,14.987070185063397,11.835330557860345,28.147864612125947,0
80,103.30232821809399,104.67828488524533,104.96609545484972,100.3052022343361,18.788005857068644,16.69510171428673,13.115047592294161,24.348313286706684,0
81,108.34899981759591,113.10047335471066,104.82184421080473,107.26429640231603,20.7784848115161,19.952725297203255,11.753640687681782,26.7915930919332,0
82,110.83962811676072,112.55843979572794,112.4873371685512,107.57078264263873,22.154685206761787,17.35758311787067,10.951667530257694,31.957052736459595,0
83,108.05214831663628,109.21015931185424,108.16296369767902,106.8016016016016,20.34662336869824,15.88388017633924,12.400748932635773,28.856292723318393,0
84,112.72828129094121,111.43031166759981,114.79288170336572,111.92100433767101,20.34423689375121,18.82076208818511,13.217891528707684,26.595642076032245,0
